Number Insured,Number Uninsured,Age Category,County,Percentage Insured,Percentage Uninsured
114466,19822,Total,"Alamance County, NC",85.2391874180865,14.7608125819135
34374,2009,Under 18,"Alamance County, NC",94.47819036363137,5.5218096363686335
33436,10487,18 to 40 years,"Alamance County, NC",76.12412631195501,23.875873688044987
17060,3601,40 to 50 years,"Alamance County, NC",82.57102753980931,17.428972460190696
29596,3725,50 to 64 years,"Alamance County, NC",88.82086371957624,11.179136280423757
24561,3867,Total,"Alexander County, NC",86.39721401435204,13.602785985647953
6832,443,Under 18,"Alexander County, NC",93.91065292096219,6.0893470790378
7018,1716,18 to 40 years,"Alexander County, NC",80.35264483627203,19.64735516372796
3702,811,40 to 50 years,"Alexander County, NC",82.02969200088633,17.970307999113672
7009,897,50 to 64 years,"Alexander County, NC",88.65418669365039,11.345813306349608
6335,1535,Total,"Alleghany County, NC",80.49555273189327,19.504447268106734
1658,158,Under 18,"Alleghany County, NC",91.29955947136564,8.700440528634362
1599,669,18 to 40 years,"Alleghany County, NC",70.5026455026455,29.497354497354497
914,320,40 to 50 years,"Alleghany County, NC",74.0680713128039,25.93192868719611
2164,388,50 to 64 years,"Alleghany County, NC",84.7962382445141,15.203761755485893
15479,2372,Total,"Anson County, NC",86.71222900677833,13.287770993221669
4417,212,Under 18,"Anson County, NC",95.4201771440916,4.579822855908404
4648,1186,18 to 40 years,"Anson County, NC",79.67089475488515,20.329105245114842
2180,406,40 to 50 years,"Anson County, NC",84.3000773395205,15.699922660479505
4234,568,50 to 64 years,"Anson County, NC",88.17159516867972,11.828404831320283
16513,3261,Total,"Ashe County, NC",83.50864771922727,16.49135228077273
4301,310,Under 18,"Ashe County, NC",93.27694643244415,6.723053567555845
4304,1456,18 to 40 years,"Ashe County, NC",74.72222222222223,25.27777777777778
2561,672,40 to 50 years,"Ashe County, NC",79.21435199505103,20.785648004948964
5347,823,50 to 64 years,"Ashe County, NC",86.6612641815235,13.338735818476499
9006,2135,Total,"Avery County, NC",80.83654968135716,19.16345031864285
2191,213,Under 18,"Avery County, NC",91.13976705490849,8.860232945091514
2577,955,18 to 40 years,"Avery County, NC",72.96149490373726,27.03850509626274
1424,422,40 to 50 years,"Avery County, NC",77.1397616468039,22.8602383531961
2814,545,50 to 64 years,"Avery County, NC",83.7749330157785,16.225066984221495
29928,5040,Total,"Beaufort County, NC",85.58682223747427,14.413177762525738
8505,519,Under 18,"Beaufort County, NC",94.24867021276596,5.7513297872340425
8162,2169,18 to 40 years,"Beaufort County, NC",79.00493659858678,20.995063401413223
4457,1069,40 to 50 years,"Beaufort County, NC",80.6550850524792,19.34491494752081
8804,1283,50 to 64 years,"Beaufort County, NC",87.28065827302468,12.719341726975316
11415,1639,Total,"Bertie County, NC",87.44446146774935,12.555538532250651
2982,145,Under 18,"Bertie County, NC",95.36296770067158,4.63703229932843
3120,775,18 to 40 years,"Bertie County, NC",80.10269576379974,19.897304236200256
1669,287,40 to 50 years,"Bertie County, NC",85.32719836400818,14.67280163599182
3644,432,50 to 64 years,"Bertie County, NC",89.40137389597645,10.598626104023552
20748,3994,Total,"Bladen County, NC",83.85740845525827,16.142591544741734
5933,444,Under 18,"Bladen County, NC",93.03747843813706,6.962521561862945
5697,1797,18 to 40 years,"Bladen County, NC",76.02081665332265,23.979183346677342
3130,824,40 to 50 years,"Bladen County, NC",79.16034395548812,20.839656044511887
5988,929,50 to 64 years,"Bladen County, NC",86.56932196038746,13.430678039612548
82803,12873,Total,"Brunswick County, NC",86.54521510096576,13.454784899034241
19550,1110,Under 18,"Brunswick County, NC",94.6272991287512,5.37270087124879
