Number Insured,Number Uninsured,Income Category,County,Percentage Insured,Percentage Uninsured
40193,2507,Over 400% of Poverty,"Alamance County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Alamance County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Alamance County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Alamance County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Alamance County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Alexander County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Alexander County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Alexander County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Alexander County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Alexander County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Alleghany County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Alleghany County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Alleghany County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Alleghany County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Alleghany County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Anson County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Anson County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Anson County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Anson County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Anson County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Ashe County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Ashe County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Ashe County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Ashe County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Ashe County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Avery County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Avery County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Avery County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Avery County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Avery County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Beaufort County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Beaufort County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Beaufort County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Beaufort County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Beaufort County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Bertie County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Bertie County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Bertie County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Bertie County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Bertie County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Bladen County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Bladen County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Bladen County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Bladen County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Bladen County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Brunswick County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Brunswick County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Brunswick County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Brunswick County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Brunswick County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Buncombe County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Buncombe County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Buncombe County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Buncombe County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Buncombe County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Burke County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Burke County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Burke County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Burke County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Burke County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Cabarrus County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Cabarrus County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Cabarrus County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Cabarrus County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Cabarrus County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Caldwell County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Caldwell County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Caldwell County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Caldwell County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Caldwell County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Camden County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Camden County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Camden County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Camden County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Camden County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Carteret County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Carteret County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Carteret County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Carteret County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Carteret County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Caswell County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Caswell County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Caswell County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Caswell County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Caswell County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Catawba County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Catawba County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Catawba County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Catawba County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Catawba County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Chatham County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Chatham County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Chatham County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Chatham County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Chatham County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Cherokee County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Cherokee County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Cherokee County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Cherokee County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Cherokee County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Chowan County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Chowan County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Chowan County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Chowan County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Chowan County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Clay County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Clay County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Clay County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Clay County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Clay County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Cleveland County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Cleveland County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Cleveland County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Cleveland County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Cleveland County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Columbus County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Columbus County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Columbus County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Columbus County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Columbus County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Craven County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Craven County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Craven County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Craven County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Craven County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Cumberland County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Cumberland County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Cumberland County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Cumberland County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Cumberland County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Currituck County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Currituck County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Currituck County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Currituck County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Currituck County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Dare County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Dare County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Dare County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Dare County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Dare County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Davidson County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Davidson County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Davidson County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Davidson County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Davidson County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Davie County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Davie County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Davie County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Davie County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Davie County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Duplin County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Duplin County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Duplin County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Duplin County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Duplin County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Durham County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Durham County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Durham County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Durham County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Durham County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Edgecombe County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Edgecombe County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Edgecombe County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Edgecombe County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Edgecombe County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Forsyth County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Forsyth County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Forsyth County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Forsyth County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Forsyth County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Franklin County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Franklin County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Franklin County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Franklin County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Franklin County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Gaston County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Gaston County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Gaston County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Gaston County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Gaston County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Gates County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Gates County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Gates County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Gates County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Gates County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Graham County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Graham County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Graham County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Graham County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Graham County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Granville County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Granville County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Granville County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Granville County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Granville County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Greene County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Greene County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Greene County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Greene County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Greene County, NC",76.7260028431918,23.273997156808207
40193,2507,Over 400% of Poverty,"Guilford County, NC",94.1288056206089,5.871194379391101
27025,3960,250% to 400% of Poverty,"Guilford County, NC",87.21962239793449,12.780377602065515
9624,2305,200% to 250% of Poverty,"Guilford County, NC",80.67734093385866,19.322659066141338
12797,3519,138% to 200% of Poverty,"Guilford County, NC",78.43221377788673,21.567786222113263
24827,7531,Under 138% of Poverty,"Guilford County, NC",76.7260028431918,23.273997156808207
